Generale,Contesto,Bambini,Donne,Contesto|Ambiente,Contesto|Abitazione,Contesto|Evoluzione digitale,Contesto|Sicurezza e protezione,Contesto|Violenza contro donne e bambini,Bambini|Salute,Bambini|Istruzione,Bambini|Povertà educativa,Bambini|Capitale umano,Bambini|Capitale economico,Donne|Salute,Donne|Educazione,Donne|Opportunità economiche,Donne|Conciliazione vita-lavoro,Donne|Partecipazione politica,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
45.4,61.2,39.8,38.5,71.6,87.3,50.0,52.6,52.1,40.8,54.2,17.6,61.5,41.4,49.0,45.9,19.6,46.5,41.5,,449.0,6.7,18.7,56.2,13.0,0.9,8.1,,,,2.96,,,17.1,6.7,54.3,26.2,27.9,,65.7,55.6,26.8,6.1,24.5318097577924,27.9,13.3,66.1,36.4,12.6
47.2,65.9,40.6,39.2,72.9,90.2,58.5,59.7,54.1,40.3,54.0,18.5,65.0,41.9,49.7,46.1,19.1,48.8,43.6,,447.0,6.6,12.9,57.7,17.6,0.7,7.2,0.15626053204864448,,,3.0,,,16.7,6.8,54.7,29.5,27.9,,66.6,55.7,27.3,6.0,24.7967969739224,27.9,14.5,68.2,36.4,14.6
46.4,68.1,37.2,39.5,73.7,88.2,59.0,67.2,56.9,37.0,54.0,15.1,58.3,40.2,53.6,45.8,18.6,48.4,43.6,,441.0,7.1,16.6,58.8,17.6,0.6,5.1,0.1429260127772997,,,2.93,,,17.5,4.7,55.0,22.4,27.8,,66.7,58.0,27.9,5.7,24.9654370391567,27.8,15.2,66.0,36.4,14.6
46.8,68.6,36.4,40.9,73.7,89.0,61.5,67.6,55.8,37.0,49.6,19.7,41.9,42.3,53.0,52.6,19.1,47.7,45.1,,441.0,6.4,15.5,63.7,17.6,0.6,4.9,0.1589968283023605,,,2.93,,,15.3,4.7,55.2,5.2,27.8,,66.9,57.6,28.4,7.7,24.6898642996262,27.8,15.2,64.7,36.4,16.0
46.0,68.6,36.5,38.7,73.7,89.0,61.5,67.6,55.8,37.0,50.2,19.7,41.9,42.3,53.0,52.6,19.1,47.7,34.2,,441.0,6.4,15.5,63.7,17.6,0.6,4.9,0.1589968283023605,,,2.93,,,15.3,4.7,55.2,5.2,27.8,,66.9,57.6,28.4,7.7,24.6898642996262,27.8,15.2,64.7,28.467153284671532,16.0
60.6,65.9,60.8,55.4,44.3,97.0,72.3,53.6,74.6,42.8,70.3,51.0,83.2,65.4,56.0,74.1,31.6,74.6,53.4,,555.0,3.5,2.5,68.9,22.5,0.4,13.9,,,,2.59,,,10.5,30.5,66.8,40.0,24.7,35231.89040972317,66.4,59.5,38.3,11.4,14.7590138671503,24.7,33.6,81.3,35.8,24.5
61.6,68.3,61.6,55.5,45.6,96.5,76.0,56.7,78.4,43.5,69.3,53.4,83.3,66.0,56.7,72.1,32.1,75.0,53.4,,560.0,3.7,3.2,69.2,24.6,0.4,12.5,0.25218946692022354,,,2.61,,,9.5,30.8,67.4,39.7,24.9,35791.65462655119,66.5,59.9,37.2,11.1,14.7024589823564,24.9,34.5,80.2,35.8,24.5
61.4,72.0,58.3,55.3,48.2,96.7,76.7,68.8,78.4,41.4,69.3,48.7,77.5,62.4,62.6,65.9,30.2,74.0,55.8,,541.0,3.9,2.7,70.7,24.6,0.3,8.6,0.20232254479273615,,,2.6,,,10.5,27.7,67.9,33.4,25.0,33227.7184217101,67.7,63.0,37.7,9.0,15.8328347817918,25.0,35.0,77.2,35.8,26.8
60.5,71.0,54.8,56.8,48.2,96.4,77.8,67.0,74.7,41.4,65.3,50.6,54.6,66.0,57.1,76.1,32.7,74.6,55.8,,541.0,3.7,3.5,72.9,24.6,0.3,9.4,0.27099754620190586,,,2.6,,,9.6,27.7,67.7,9.7,25.1,35832.653769162265,66.6,60.1,38.7,11.9,14.5488715769656,25.1,35.0,78.5,35.8,26.8
61.4,71.1,54.8,59.4,48.2,96.4,77.8,67.0,74.7,41.4,65.5,50.6,54.6,66.0,57.1,76.1,32.7,74.6,69.9,,541.0,3.7,3.5,72.9,24.6,0.3,9.4,0.27099754620190586,,,2.6,,,9.6,27.7,67.7,9.7,25.1,35832.653769162265,66.6,60.1,38.7,11.9,14.5488715769656,25.1,35.0,78.5,46.08695652173913,26.8
61.2,67.1,60.7,56.2,57.3,91.8,71.2,54.5,66.9,53.9,67.1,46.1,82.7,59.5,55.0,65.1,36.7,74.9,57.0,,554.0,5.7,10.6,67.6,22.2,0.4,13.5,,,,3.07,30.6,35.2,10.4,24.3,67.7,38.9,27.7,32140.8593691335,66.1,59.0,36.5,9.1,14.740767495167,27.7,33.3,82.4,37.5,25.7
62.4,70.1,60.6,57.4,59.3,92.9,73.7,57.6,72.1,54.7,66.3,45.6,81.4,60.5,53.1,68.2,37.3,77.0,60.0,,549.0,5.1,9.0,68.3,23.5,0.4,12.1,0.19600825913467906,,,3.09,31.6,35.8,10.6,24.2,68.2,37.2,27.7,32895.94673310942,66.6,57.7,39.3,9.2,14.4139208417147,27.7,35.3,82.7,37.5,28.5
62.8,73.0,57.7,58.8,62.9,92.5,74.3,67.4,71.3,54.6,66.3,40.5,77.6,56.5,59.3,66.4,35.7,77.0,64.6,,522.0,6.5,8.6,69.6,23.5,0.4,7.7,0.16414326489817618,,,3.02,31.6,35.8,12.0,21.5,68.4,33.1,27.6,29994.50168676433,66.6,61.4,41.6,7.9,15.16436911133,27.6,36.1,81.0,37.5,32.9
62.2,73.0,55.2,59.7,62.9,92.3,76.0,67.2,69.8,54.6,62.2,45.1,56.2,59.4,56.5,71.6,36.7,78.7,64.6,,522.0,6.4,9.0,72.9,23.5,0.4,7.8,0.263543370261799,,,3.02,34.9,40.7,9.8,21.5,68.8,10.6,27.8,32126.111567865104,65.0,60.2,37.4,10.9,14.8333357293456,27.8,36.1,84.5,37.5,32.9
61.5,73.0,55.2,57.7,62.9,92.3,76.0,67.2,69.8,54.6,62.4,45.1,56.2,59.4,56.5,71.6,36.7,78.7,54.9,,522.0,6.4,9.0,72.9,23.5,0.4,7.8,0.263543370261799,,,3.02,35.2,40.0,9.8,21.5,68.8,10.6,27.8,32126.111567865104,65.0,60.2,37.4,10.9,14.8333357293456,27.8,36.1,84.5,30.434782608695656,32.9
58.7,67.3,58.1,51.7,48.9,96.5,74.0,54.0,73.0,45.5,70.0,38.3,80.3,67.4,53.0,69.3,30.9,71.4,45.5,,492.0,3.7,3.3,69.5,23.3,0.4,13.7,,,,2.52,,,13.2,21.9,64.7,38.5,24.8,36691.82664016899,66.5,57.7,39.8,9.4,15.2647097742876,24.8,29.9,82.3,31.0,23.3
59.5,69.4,58.8,51.7,52.7,96.2,76.8,55.8,74.0,43.7,69.0,43.1,79.6,67.8,54.0,67.7,31.8,73.9,42.9,,493.0,4.5,3.0,68.5,25.3,0.5,11.5,0.2196790172244215,,,2.51,,,11.0,22.2,64.7,37.8,25.0,37068.0445647865,66.8,58.2,37.6,9.6,14.9586768379422,25.0,31.4,84.4,31.0,20.9
58.4,71.5,54.9,50.8,54.6,95.5,76.7,66.1,70.5,39.5,69.0,37.5,76.4,64.3,55.6,61.7,32.9,72.3,41.3,,479.0,5.8,3.2,68.2,25.3,0.5,6.9,0.3186305552854345,,,2.44,,,12.6,19.4,65.0,34.2,25.0,34598.25661180765,65.2,59.6,37.2,7.8,14.3298031706815,25.0,30.8,82.4,31.0,19.4
57.7,71.9,51.4,52.0,54.6,95.3,78.7,64.3,72.8,39.5,63.6,39.8,52.3,68.3,56.4,69.0,34.1,69.5,41.3,,479.0,6.2,3.1,72.2,25.3,0.5,7.7,0.23396018243968755,,,2.44,,,11.5,19.4,65.1,9.2,25.2,37505.55737469746,65.5,60.0,35.1,10.8,13.8655755258803,25.2,30.8,76.8,31.0,19.4
57.4,71.9,51.5,51.2,54.6,95.3,78.7,64.3,72.8,39.5,64.6,39.8,52.3,68.3,56.4,69.0,34.1,69.5,38.1,,479.0,6.2,3.1,72.2,25.3,0.5,7.7,0.23396018243968755,,,2.44,,,11.5,19.4,65.1,9.2,25.2,37505.55737469746,65.5,60.0,35.1,10.8,13.8655755258803,25.2,30.8,76.8,28.662420382165603,19.4
46.3,61.8,38.5,41.6,76.1,83.8,52.3,57.3,47.1,54.9,49.6,12.7,60.2,40.7,49.1,47.2,24.1,46.5,48.3,,464.0,6.3,26.2,57.1,14.1,0.7,8.3,,,,3.35,,,22.2,13.6,51.5,26.8,27.2,,66.1,55.5,26.8,6.5,21.3425491412541,27.2,13.8,65.1,39.8,14.6
48.0,64.1,40.5,42.6,80.0,85.7,56.4,60.8,45.8,56.7,49.3,15.2,62.2,41.3,48.3,45.1,25.8,48.6,51.6,,456.0,4.7,24.0,57.0,16.6,0.7,6.7,0.3598161519371677,,,3.35,,,21.3,14.4,52.5,28.2,27.2,,66.7,54.9,25.6,6.2,20.3947956891934,27.2,15.7,65.5,39.8,17.7
48.4,65.9,39.9,43.2,81.7,86.2,56.7,64.6,48.3,54.6,49.3,16.7,56.8,39.7,53.1,44.0,24.3,51.4,51.6,,444.0,8.2,19.5,57.6,16.6,0.7,5.0,0.2716960626712251,,,3.25,,,19.9,12.7,52.6,22.5,27.1,,67.0,57.6,25.5,5.9,21.1572472460949,27.1,15.9,70.7,39.8,17.7
47.5,66.0,37.4,43.5,81.7,84.2,59.6,67.5,45.4,54.6,45.1,17.5,41.0,41.3,52.4,50.3,23.3,49.1,51.6,,444.0,6.5,25.0,63.4,16.6,0.7,3.7,0.2432935006118071,,,3.25,,,19.5,12.7,52.8,5.9,27.2,,66.3,57.4,24.5,8.2,21.7594303192856,27.2,15.9,66.1,39.8,17.7
47.3,66.0,37.4,43.0,81.7,84.2,59.6,67.5,45.4,54.6,45.2,17.5,41.0,41.3,52.4,50.3,23.3,49.1,48.5,,444.0,6.5,25.0,63.4,16.6,0.7,3.7,0.2432935006118071,,,3.25,,,19.5,12.7,52.8,5.9,27.2,,66.3,57.4,24.5,8.2,21.7594303192856,27.2,15.9,66.1,37.5,17.7
